participant_id,age,gender,device_type,experience_level,task_success,completion_time_s,sus_q1,sus_q2,sus_q3,sus_q4,sus_q5,sus_q6,sus_q7,sus_q8,sus_q9,sus_q10,ueq_attractiveness,ueq_efficiency,ueq_perspicuity,nasa_tlx_mental,nasa_tlx_temporal,nasa_tlx_frustration,trust_score,ease_of_use,willingness_to_reuse,attention_check_passed,sus_score
P0013,26.0,F,iOS,Intermediate,0.0,60.7251101126036,5.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,5.660955773820611,17.764742778557412,1.49933227819903,4.948603306361002,6.0967998642767975,5.386530718691828,1.0,40.0
P0014,35.0,F,iOS,Unknown,0.0,74.36539671195354,4.0,4.0,5.0,4.0,4.0,2.0,2.0,2.0,3.0,4.0,7.0,5.0,5.0,9.089041275336726,10.129335073168786,0.5111971515526627,3.5284643118039796,4.970538343499779,4.112677886794293,1.0,55.0
P0015,46.0,F,Android,Beginner,1.0,66.99720873304868,1.0,5.0,5.0,5.0,3.0,5.0,5.0,2.0,3.0,5.0,4.0,6.0,5.0,6.382925411297689,12.40640811991454,3.950067875759795,5.907877601893576,5.46179750082569,4.147770344973474,1.0,37.5
P0016,27.0,F,Android,Beginner,1.0,64.53752363646635,3.0,1.0,5.0,4.0,3.0,4.0,2.0,5.0,5.0,4.0,5.0,6.0,7.0,18.91305493493177,11.417053751380015,11.041918412536813,5.002402264196247,5.105689279196286,4.282878873862881,1.0,50.0
P0017,39.0,M,Desktop,Beginner,1.0,20.84468948459646,4.0,4.0,4.0,5.0,2.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,9.836102598858824,17.359389529576088,3.950067875759795,4.96797662484377,6.636322766026407,3.508727152939234,1.0,42.5
P0018,29.0,F,iOS,Beginner,1.0,54.540679615981205,5.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,12.262310458046551,5.187346884606413,9.526925680192326,6.61098509686207,6.176125591756417,5.443612540869127,1.0,65.0
P0019,52.0,M,Android,Unknown,1.0,25.10688241875456,3.0,5.0,5.0,3.0,2.0,4.0,5.0,4.0,1.0,4.0,5.0,5.0,5.0,15.453486299117218,5.048867879694671,3.950067875759795,5.885300920982953,4.979291085765151,4.854585505228342,1.0,40.0
P0020,52.0,F,Android,Beginner,1.0,77.13967025271695,4.0,3.0,4.0,5.0,5.0,3.0,2.0,4.0,3.0,1.0,5.0,5.0,7.0,14.98467070082517,5.127464459047004,3.950067875759795,6.255996343179436,6.672640439683832,3.645596734996698,1.0,55.0
P0022,25.0,F,Desktop,Beginner,1.0,37.65907228881572,3.0,3.0,5.0,4.0,5.0,5.0,3.0,4.0,2.0,4.0,6.0,6.0,6.0,21.0,20.258846398424332,3.950067875759795,6.445122306271276,6.498323147025667,4.037655021846529,1.0,45.0
P_MISSING_0002,36.0,M,Unknown,Intermediate,1.0,30.11662418286331,5.0,2.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,1.711107925291779,7.080894969484467,0.0517179837527193,6.027599368314967,5.395733654476668,4.02944572916032,1.0,62.5
P0024,55.0,F,iOS,Beginner,1.0,77.39910181256562,3.0,5.0,5.0,4.0,2.0,4.0,1.0,4.0,3.0,5.0,3.0,4.0,5.0,20.51131901249644,7.159512685631548,3.950067875759795,6.439218747223823,6.051718756936976,5.687126133437368,1.0,30.0
P0025,21.0,M,Android,Intermediate,1.0,69.10146075363768,5.0,2.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,6.0,7.806357760999129,12.110595172534834,1.1673505560056183,5.907877601893576,5.714628229858211,5.361945287445729,1.0,47.5
P0026,37.0,F,iOS,Beginner,0.0,65.21070048640019,5.0,4.0,5.0,4.0,3.0,3.0,5.0,3.0,3.0,5.0,5.0,6.0,5.0,21.0,17.622728622230543,13.111245650097253,4.791481611908424,4.523910970375243,4.6306668938959055,1.0,55.0
P0028,33.0,M,Desktop,Beginner,1.0,72.12387329449672,2.0,2.0,4.0,4.0,3.0,2.0,3.0,5.0,3.0,5.0,6.0,5.0,6.0,5.253408550154235,13.55892458169704,3.950067875759795,5.872938101628197,6.051718756936976,4.794434250262339,1.0,42.5
P0029,18.0,M,Unknown,Intermediate,1.0,178.54934748083377,4.0,4.0,4.0,3.0,4.0,1.0,4.0,5.0,5.0,3.0,4.0,6.0,4.0,3.9903480702699903,14.891289369069352,8.772840550952676,5.6892583123459275,6.315649638469678,5.679751128597028,1.0,62.5
P0030,18.0,F,Desktop,Advanced,1.0,167.75465319046114,4.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,7.0,13.159520458412,17.486208251999322,8.881073324892599,6.96983722277174,6.051718756936976,6.1319980439407935,1.0,42.5
P0031,36.0,M,Android,Intermediate,1.0,219.77071261885828,4.0,1.0,3.0,5.0,2.0,2.0,3.0,5.0,2.0,5.0,5.0,5.0,7.0,15.84010789664373,15.275099957350658,3.950067875759795,5.907877601893576,5.640566529435732,5.2454164383275135,1.0,40.0
P0033,50.0,F,Android,Intermediate,1.0,67.37603355525063,3.0,2.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,6.0,4.0,4.0,21.0,7.102584768471645,3.950067875759795,5.963511897916092,6.051718756936976,5.03408495150538,1.0,47.5
P0034,31.0,M,iOS,Advanced,1.0,219.77071261885828,5.0,5.0,5.0,1.0,4.0,1.0,4.0,4.0,3.0,3.0,5.0,7.0,6.0,4.904910102244707,10.117517024904654,3.950067875759795,5.907877601893576,6.973109922166431,5.149824595354516,1.0,67.5
P0035,22.0,M,iOS,Intermediate,1.0,34.27761053643142,4.0,2.0,1.0,4.0,4.0,5.0,3.0,4.0,5.0,2.0,6.0,6.0,6.0,6.200557760319383,19.779052491816294,3.5826241633507436,6.367253198654056,5.874886437932414,4.644971416001231,1.0,50.0
P0036,18.0,M,iOS,Intermediate,1.0,23.217279060490505,3.0,5.0,2.0,5.0,5.0,3.0,5.0,1.0,4.0,3.0,6.0,4.0,5.0,6.835162403355634,10.986397968188156,3.950067875759795,5.899100068111444,6.051718756936976,3.179783260121341,1.0,55.0
P0037,20.0,Prefer not to say,Android,Beginner,1.0,74.70560099936868,5.0,2.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,6.0,5.0,4.0,6.861135452918979,7.165841216089482,3.950067875759795,5.907877601893576,6.09291467590132,5.1429165684917235,1.0,52.5
P0038,26.0,F,iOS,Beginner,1.0,94.3959099125184,4.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,6.0,21.0,10.36889980725372,2.3403709315136556,6.911628524491313,6.051718756936976,3.2723776985306685,1.0,60.0
P0039,44.0,F,iOS,Beginner,1.0,48.86900141770042,4.0,4.0,4.0,5.0,4.0,2.0,3.0,1.0,4.0,4.0,5.0,5.0,4.0,21.0,4.708404878057493,3.950067875759795,3.749484923954755,6.324263332205605,4.735833446451849,1.0,57.5
P0040,40.0,F,Android,Intermediate,1.0,185.98959722716657,1.0,3.0,1.0,1.0,1.0,4.0,1.0,5.0,5.0,4.0,7.0,5.0,4.0,11.10302514730422,11.844083535006703,3.950067875759795,5.907877601893576,6.403520308584242,6.036261776122575,1.0,30.0
P0042,34.0,F,Android,Beginner,1.0,47.1716626986277,5.0,4.0,2.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,6.0,16.35980048389136,6.904550698790632,3.950067875759795,4.523546760684175,6.048272864349707,4.4346135559953055,1.0,52.5
P0043,26.0,F,iOS,Intermediate,1.0,19.297940150589632,5.0,2.0,5.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,5.0,7.0,20.000608268640175,17.588497993611284,3.950067875759795,5.185548222395203,6.5732652966338545,4.174992327443228,1.0,62.5
P0044,35.0,M,Android,Intermediate,1.0,219.77071261885828,3.0,4.0,5.0,5.0,4.0,1.0,3.0,4.0,5.0,3.0,6.0,4.0,6.0,19.85870036385824,7.147219361449158,2.2661681958148137,6.174031238599856,6.32902202941537,4.558517777011849,1.0,57.5
P0045,26.0,F,iOS,Beginner,1.0,45.91063747042341,4.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,6.0,6.0,21.0,8.651076041492013,3.950067875759795,6.507458806984533,6.051718756936976,4.8182292468203975,1.0,45.0
P0046,24.0,M,Android,Advanced,0.0,62.07916041909735,2.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,6.0,5.0,21.0,9.174272553001527,5.2851526156197455,3.237113183619054,5.235557653525995,5.273951341768916,1.0,52.5
P0048,32.0,M,iOS,Intermediate,1.0,74.15331692844869,4.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,5.0,4.0,6.0,16.50850163592787,8.266758821316238,3.950067875759795,6.468009894770017,6.051718756936976,5.484964949805492,1.0,60.0
P0049,24.0,F,iOS,Intermediate,1.0,137.57717761469084,4.0,2.0,2.0,2.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,19.629855890996737,9.62373234814694,3.7403693721014832,5.497335260108713,6.549616063632264,5.437705301542676,1.0,55.0
P_MISSING_0003,44.0,F,Desktop,Intermediate,1.0,20.965586944515284,5.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.031601850694171,6.333015599894463,16.0,5.907877601893576,6.051718756936976,5.492467703832078,1.0,47.5
P0051,56.0,Unknown,Desktop,Beginner,1.0,37.25109071935661,3.0,5.0,1.0,2.0,4.0,3.0,5.0,4.0,5.0,4.0,7.0,4.0,5.0,21.0,21.0,3.950067875759795,6.845513146137397,6.193065664755712,5.248786355817575,1.0,50.0
P0053,26.0,Prefer not to say,iOS,Intermediate,1.0,63.44579666344659,5.0,5.0,3.0,2.0,5.0,4.0,1.0,5.0,2.0,5.0,5.0,5.0,5.0,7.431260639965509,21.0,3.950067875759795,5.907877601893576,6.6459669409809115,3.818020537863029,1.0,37.5
P0054,52.0,F,iOS,Advanced,1.0,98.67279551645922,4.0,5.0,1.0,4.0,2.0,2.0,4.0,3.0,5.0,4.0,4.0,4.0,6.0,21.0,13.77279182945576,3.950067875759795,6.9432466919127815,6.815336166965929,5.3484076049303,1.0,45.0
P0055,46.0,M,Android,Advanced,1.0,58.921294599551565,4.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,5.0,4.0,3.0,7.0,6.0,10.757959298253065,9.205085327621978,3.950067875759795,5.9473653597853255,6.051718756936976,4.92808062521669,1.0,55.0
P0056,18.0,F,Android,Unknown,1.0,24.18191976960813,2.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,7.537943409464091,6.2834601055608035,7.627779838411408,6.235874305391566,6.930749117833292,5.561759645128227,1.0,42.5
P0057,48.0,M,Android,Intermediate,1.0,201.9043269706875,3.0,4.0,5.0,2.0,4.0,3.0,5.0,4.0,4.0,2.0,5.0,4.0,6.0,21.0,11.873488350201471,3.950067875759795,5.907877601893576,6.631423530557121,4.811415360880757,1.0,65.0
P0058,40.0,M,Android,Beginner,0.0,58.38769500395149,4.0,1.0,4.0,4.0,5.0,1.0,5.0,5.0,5.0,3.0,7.0,5.0,5.0,10.287383044871962,11.013372711891192,21.0,5.08601710661272,4.82229415732165,5.0231361619146835,1.0,72.5
P0059,35.0,F,Android,Advanced,1.0,124.88480746275856,4.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,6.0,4.0,12.107205510471124,10.01343779286381,2.9740361160827327,5.907877601893576,6.678136674116801,5.305943628019234,1.0,55.0
P0060,35.0,F,Desktop,Advanced,1.0,52.701080748650995,5.0,3.0,4.0,3.0,2.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,6.0,12.55420657903394,7.746039805848093,3.950067875759795,6.65037737198274,5.3772877611788354,6.2339595804351795,1.0,55.0
P0061,40.0,F,Desktop,Beginner,1.0,15.965073174747962,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,7.0,5.0,5.0,21.0,11.525341346768451,3.950067875759795,5.017476085818395,6.051718756936976,3.898464790421837,1.0,45.0
P0062,45.0,F,iOS,Intermediate,1.0,44.05486046039701,4.0,4.0,4.0,2.0,1.0,1.0,4.0,3.0,4.0,2.0,4.0,5.0,3.0,15.39410855913344,10.22046960449449,1.280283418464144,6.180224631304661,6.201225300356021,3.618062862822118,1.0,62.5
P0063,18.0,M,Android,Intermediate,1.0,35.94331041462716,4.0,1.0,3.0,4.0,2.0,5.0,3.0,3.0,4.0,4.0,6.0,4.0,7.0,13.849116827540554,21.0,5.504422153488811,6.195371607404438,6.051718756936976,5.585115837655547,1.0,47.5
P0064,57.0,F,Android,Advanced,1.0,79.1208310944007,5.0,5.0,4.0,3.0,3.0,2.0,2.0,5.0,4.0,5.0,3.0,4.0,5.0,21.0,5.728622940602154,3.950067875759795,5.556333052466843,5.868367936900511,5.16436654068617,1.0,45.0
P0065,49.0,F,Android,Intermediate,1.0,38.12441364144537,3.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,2.0,5.0,6.0,5.0,5.0,5.921100736599316,9.03336707315023,3.950067875759795,5.907877601893576,6.871669836434857,5.623402938351125,1.0,47.5
P0066,46.0,M,iOS,Advanced,0.0,24.128125323000024,5.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0,6.0,5.0,6.0,9.075280549640382,12.401943008836527,1.8521614886342608,5.56630597558066,5.268568831342471,4.274319484323227,1.0,45.0
P_MISSING_0004,37.0,M,iOS,Intermediate,1.0,219.77071261885828,2.0,4.0,3.0,5.0,5.0,3.0,2.0,5.0,4.0,2.0,6.0,3.0,5.0,13.431756442971096,8.479002846676027,3.950067875759795,6.9336194244712255,6.051718756936976,4.941171877393664,1.0,42.5
P0068,38.0,Other,iOS,Intermediate,1.0,31.03521800299086,1.0,4.0,4.0,5.0,5.0,3.0,2.0,5.0,3.0,5.0,5.0,7.0,7.0,21.0,7.543858755588156,3.950067875759795,5.313464693237846,3.7443719267577498,4.415893967873842,1.0,32.5
P0069,33.0,M,iOS,Intermediate,1.0,65.96823983066373,4.0,5.0,5.0,5.0,3.0,2.0,3.0,3.0,4.0,5.0,5.0,6.0,6.0,10.427512349194371,6.345372713272057,3.950067875759795,6.753341549269422,6.889211066491649,3.3778497053489405,1.0,47.5
P0072,28.0,M,iOS,Intermediate,1.0,135.5816714081915,5.0,5.0,5.0,4.0,2.0,1.0,5.0,2.0,5.0,2.0,4.0,7.0,6.0,6.7757084200016715,14.782205459017389,3.950067875759795,6.092610529188782,6.051718756936976,4.948393109605996,1.0,70.0
P_MISSING_0005,37.0,F,iOS,Beginner,1.0,46.669851642797866,1.0,4.0,4.0,2.0,2.0,5.0,5.0,4.0,4.0,5.0,7.0,7.0,6.0,10.698521284699442,9.743774751965637,3.002339321107149,6.418284851435055,4.822520466243003,6.0185363711304065,1.0,40.0
P0075,30.0,M,iOS,Intermediate,1.0,193.2754992317098,5.0,5.0,5.0,5.0,4.0,4.0,1.0,4.0,5.0,4.0,7.0,5.0,6.0,21.0,10.129335073168786,3.950067875759795,6.113467012100309,5.495643890798187,5.827101779758956,1.0,45.0
P0076,32.0,M,iOS,Beginner,1.0,28.915751960723416,4.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,11.46628849742947,11.015022250920646,3.950067875759795,6.701386190429105,5.178799417512416,3.4115963881055444,1.0,45.0
P0077,46.0,F,Android,Beginner,1.0,39.055116395005705,3.0,3.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,6.0,12.621263145187251,15.690266902674288,3.950067875759795,5.8521356578905745,6.26669795808227,4.623131353041869,1.0,52.5
P0078,41.0,M,Android,Intermediate,1.0,64.87270259201507,3.0,4.0,3.0,4.0,1.0,3.0,4.0,4.0,5.0,4.0,7.0,7.0,5.0,21.0,7.793916151270539,1.6851587060923483,5.907877601893576,6.051718756936976,6.144139865273596,1.0,42.5
P0079,27.0,M,Android,Intermediate,0.0,20.594103862960196,4.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,2.0,3.0,7.0,4.0,5.0,6.196508149597361,8.581848480866489,17.79237248673131,5.940091847423227,5.7742706808875095,4.340898026914811,1.0,45.0
P0080,57.0,F,iOS,Advanced,0.0,83.39609340244522,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,6.0,9.463993895131804,17.17465572708392,10.64259069437663,4.002714268043264,5.9005815171506715,5.827370531483566,1.0,45.0
P0082,34.0,F,iOS,Intermediate,1.0,17.264147573127754,4.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,5.0,2.0,7.0,6.0,6.0,9.620936544208949,12.006571811711163,3.950067875759795,6.673733336567384,6.051718756936976,4.845346055201339,1.0,52.5
P0083,50.0,F,Android,Intermediate,1.0,22.90098847074083,2.0,2.0,5.0,4.0,2.0,5.0,5.0,4.0,4.0,3.0,6.0,5.0,7.0,14.388029452339676,5.408466015270848,0.911714681943931,5.3617444311902,4.100794801827638,3.969451268365831,1.0,50.0
P0084,43.0,F,Desktop,Intermediate,1.0,54.33537323993428,5.0,5.0,3.0,3.0,5.0,4.0,2.0,4.0,3.0,5.0,5.0,6.0,5.0,21.0,15.24706233148422,3.950067875759795,5.556152953791902,5.057767972174536,1.953840281649228,1.0,42.5
P0085,35.0,M,Unknown,Advanced,1.0,49.58045227520998,3.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,5.0,6.0,6.0,5.0,9.842167287760452,10.797992243264028,3.950067875759795,5.980248699317988,6.353177933403213,6.02187649568095,1.0,47.5
P0086,24.0,F,iOS,Intermediate,1.0,219.77071261885828,5.0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,6.0,7.0,14.705807396395729,5.208470024112716,3.950067875759795,6.234792871177771,6.991097397936226,6.508856109156643,1.0,62.5
P0087,41.0,F,iOS,Intermediate,1.0,43.96361126230468,5.0,5.0,3.0,2.0,3.0,5.0,5.0,4.0,4.0,2.0,5.0,3.0,5.0,4.929594442524941,9.71001910541478,3.950067875759795,5.907877601893576,6.051718756936976,4.989847644943912,1.0,55.0
P0088,18.0,F,iOS,Intermediate,1.0,187.3858541521604,4.0,3.0,4.0,5.0,2.0,3.0,3.0,5.0,4.0,4.0,6.0,6.0,6.0,21.0,21.0,3.950067875759795,5.771970195132767,5.806880132622471,4.529173729910951,1.0,42.5
P0089,37.0,M,iOS,Advanced,1.0,55.96183210013171,3.0,4.0,3.0,2.0,5.0,4.0,4.0,4.0,5.0,1.0,6.0,5.0,5.0,8.94529215156655,10.262015561631369,11.61968909612095,5.711869220630024,3.8889517106732985,5.293847694755322,1.0,62.5
P0091,53.0,Prefer not to say,Desktop,Intermediate,0.0,66.93925206342935,3.0,5.0,2.0,4.0,2.0,2.0,4.0,2.0,1.0,5.0,5.0,5.0,6.0,9.501217566296376,21.0,1.9418167397779855,4.443717667277675,4.421074870013197,6.0431120822321045,1.0,35.0
P0092,32.0,F,Android,Intermediate,1.0,75.80251331544754,4.0,3.0,4.0,5.0,2.0,3.0,4.0,5.0,3.0,4.0,6.0,4.0,6.0,14.096456706327734,2.1894107479867753,0.9195146755645496,5.698513527458684,6.609201631527444,4.449382610993179,1.0,42.5
P0093,52.0,M,Android,Intermediate,1.0,57.60972869151002,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,7.0,4.0,9.719879885985298,10.724198113224382,3.950067875759795,6.851622022562665,6.334188564953705,6.180227886954833,1.0,52.5
P0094,36.0,F,iOS,Intermediate,0.0,16.084957281241795,5.0,4.0,4.0,4.0,5.0,1.0,5.0,4.0,5.0,3.0,6.0,4.0,6.0,17.992975110122018,13.10644032739323,1.039490936926049,5.49153673071628,5.097213724692401,5.376172046499156,1.0,70.0
P0095,57.0,Prefer not to say,iOS,Advanced,1.0,14.719658385822068,5.0,4.0,4.0,3.0,5.0,5.0,2.0,5.0,4.0,4.0,6.0,4.0,6.0,3.4561493978807145,9.7050633154242,3.950067875759795,5.745117912288227,6.44148661025365,5.969347043840527,1.0,47.5
P0096,56.0,F,Desktop,Advanced,1.0,120.12750608042306,2.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0,2.0,2.0,4.0,4.0,5.0,14.72083000293773,10.229728627849807,3.0191787929997584,5.956348709696082,6.051718756936976,5.654371789595336,1.0,47.5
P0097,35.0,M,iOS,Intermediate,1.0,219.77071261885828,5.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,7.0,3.0,4.0,12.65359663753934,5.11450418266279,3.950067875759795,6.059633003863531,6.051718756936976,1.876664582206213,1.0,62.5
P0098,18.0,F,Android,Intermediate,1.0,80.03381997675424,4.0,5.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,6.0,6.0,3.0,15.68078204964402,21.0,3.950067875759795,5.907877601893576,6.051718756936976,6.124313144784371,1.0,37.5
P0099,27.0,M,iOS,Intermediate,1.0,98.99396200408025,5.0,2.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,6.0,13.311324511627005,9.513482252867975,3.950067875759795,5.842959669754782,5.916693400140353,5.149649913673171,1.0,50.0
P0102,75.0,M,Android,Intermediate,1.0,23.56989303492143,5.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,5.0,3.0,6.0,6.0,6.0,7.345928142376489,6.692387009185309,3.950067875759795,6.438557197630724,6.362482223319948,5.569721319150704,1.0,60.0
P0104,47.0,M,Android,Intermediate,1.0,219.77071261885828,5.0,5.0,5.0,2.0,5.0,3.0,5.0,2.0,4.0,4.0,5.0,5.0,6.0,5.432676480967372,9.64887293954224,3.950067875759795,6.886334543833893,6.168224167039859,5.485444230048981,1.0,70.0
P0105,44.0,M,iOS,Intermediate,1.0,83.37252540983873,5.0,5.0,3.0,3.0,4.0,3.0,5.0,1.0,4.0,5.0,6.0,6.0,6.0,13.263872779226023,21.0,3.950067875759795,6.418294232430533,6.051718756936976,3.010758033808902,1.0,60.0
P0106,43.0,M,iOS,Intermediate,1.0,111.94434960366443,5.0,4.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,13.379242281455031,6.206937259032922,3.950067875759795,5.9644951885755955,6.051718756936976,5.154775614246359,1.0,60.0
P0107,20.0,F,Android,Intermediate,1.0,64.87270259201507,3.0,4.0,4.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,6.0,3.0,4.0,19.436372361404548,4.988342265142923,3.950067875759795,5.813250508092673,4.761492900763938,3.6660008991306894,1.0,42.5
P0109,45.0,F,iOS,Advanced,0.0,80.18522013561049,5.0,4.0,4.0,4.0,2.0,4.0,5.0,3.0,3.0,4.0,6.0,7.0,6.0,19.322824742914054,4.431009937301806,18.31107087563072,4.464608468382428,4.39862329380192,5.490078460151952,1.0,50.0
P0110,30.0,F,Android,Intermediate,1.0,90.26508572188672,5.0,4.0,4.0,3.0,3.0,2.0,5.0,5.0,5.0,4.0,5.0,6.0,5.0,5.668607798351832,11.683879874980498,3.950067875759795,5.614854188704405,6.051718756936976,5.136485039030111,1.0,60.0
P0111,43.0,F,Android,Intermediate,1.0,13.389482637803807,5.0,4.0,5.0,1.0,3.0,1.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,14.898526224109956,21.0,1.8631378187650336,5.907877601893576,6.051718756936976,4.811415360880757,1.0,62.5
P0112,36.0,F,Android,Advanced,1.0,3.353654605818312,3.0,5.0,3.0,3.0,2.0,5.0,3.0,1.0,4.0,4.0,5.0,5.0,6.0,7.949334137297514,11.637640395018249,3.950067875759795,6.523816919496893,6.342822576009369,5.107921364872844,1.0,42.5
P0113,40.0,F,Android,Intermediate,1.0,59.22882200719119,5.0,4.0,4.0,5.0,3.0,3.0,2.0,2.0,4.0,4.0,6.0,6.0,6.0,19.798010890825218,8.296988154268641,8.70008156791324,6.592722102355397,6.775692171028497,3.8416923796503792,1.0,50.0
P0114,26.0,F,Android,Intermediate,1.0,57.1737203195204,4.0,3.0,5.0,4.0,2.0,2.0,4.0,5.0,4.0,2.0,5.0,4.0,6.0,21.0,6.799575230859328,1.211636059004798,6.75457799162929,6.891585787667087,3.5663769782587464,1.0,57.5
